alpha,model,best_epoch,best_val_mse,final_val_mse,final_sdr_db,final_symbol_accuracy,stop_epoch,stop_reason
0.8,Hybrid,17,0.0001650689311125981,0.0001650689311125981,34.8149293566507,1.0,20,fixed_budget
0.8,LSTM,17,1.892727936686401e-05,1.892727936686401e-05,44.22040242997427,1.0,20,fixed_budget
0.8,IQ_CNN,19,3.965097003235733e-05,3.965097003235733e-05,41.05782057747008,1.0,20,fixed_budget
0.85,Hybrid,18,8.660456163823486e-05,8.660456163823486e-05,37.61941389053587,1.0,20,fixed_budget
0.85,LSTM,15,1.7260758896655818e-05,1.7260758896655818e-05,44.6224479675293,1.0,20,fixed_budget
0.85,IQ_CNN,16,5.320850635013942e-05,5.320850635013942e-05,39.78538095383417,1.0,20,fixed_budget
0.9,Hybrid,20,0.00010917570658161171,0.00010917570658161171,36.6113776555137,1.0,20,fixed_budget
0.9,LSTM,20,5.2103077905485407e-05,5.2103077905485407e-05,39.82702933417426,1.0,20,fixed_budget
0.9,IQ_CNN,10,0.00013507920454093624,0.00013507920454093624,35.72590849134657,1.0,20,fixed_budget
0.93,Hybrid,20,0.00010626923245754802,0.00010626923245754802,36.7300295148577,1.0,20,fixed_budget
0.93,LSTM,20,6.337502187335982e-05,6.337502187335982e-05,38.98688961210705,1.0,20,fixed_budget
0.93,IQ_CNN,20,0.00011175328363028783,0.00011175328363028783,36.588628738645525,1.0,20,fixed_budget
0.95,Hybrid,17,0.00011476861428014846,0.00011476861428014846,36.401522560725134,1.0,20,fixed_budget
0.95,LSTM,16,8.88941600957575e-05,8.88941600957575e-05,37.636583842928445,0.9999975,20,fixed_budget
0.95,IQ_CNN,19,0.00012899085055641268,0.00012899085055641268,35.93921721927703,1.0,20,fixed_budget
0.96,Hybrid,19,9.644113870019774e-05,9.644113870019774e-05,37.159068819076296,1.0,20,fixed_budget
0.96,LSTM,20,6.953209462124736e-05,6.953209462124736e-05,38.712577395968964,0.9999975,20,fixed_budget
0.96,IQ_CNN,20,0.0003755624731263471,0.0003755624731263471,31.30917461334713,1.0,20,fixed_budget
0.97,Hybrid,19,0.00018332061789272028,0.00018332061789272028,34.39335426451668,0.9999962499999999,20,fixed_budget
0.97,LSTM,19,0.0002070195233312598,0.0002070195233312598,34.16793932233538,0.9999687499999995,20,fixed_budget
0.97,IQ_CNN,20,0.0006169096413364131,0.0006169096413364131,29.213368067665705,0.9999674999999997,20,fixed_budget
0.98,Hybrid,20,0.0007968785967456089,0.0007968785967456089,28.168176529899476,0.9997737499999976,20,fixed_budget
0.98,LSTM,16,0.0006964727330745922,0.0006964727330745922,28.881131247868613,0.9995949999999943,20,fixed_budget
0.98,IQ_CNN,20,0.12562415737008292,0.12562415737008292,6.004455483148968,0.7402975000000005,20,fixed_budget
0.99,Hybrid,9,0.24962463241720956,0.24962463241720956,3.019590249137273,0.5720587500000004,20,fixed_budget
0.99,LSTM,15,0.24955289633501143,0.24955289633501143,3.020821283734034,0.5788925000000001,20,fixed_budget
0.99,IQ_CNN,20,0.1289580049259322,0.1289580049259322,5.8904655244615345,0.7466625000000008,20,fixed_budget
1.0,Hybrid,19,0.24956714562953464,0.24956714562953464,3.0206600105951704,0.5737737499999997,20,fixed_budget
1.0,LSTM,6,0.24950417828938318,0.24950417828938318,3.0217480243198453,0.57327375,20,fixed_budget
1.0,IQ_CNN,13,0.24952582944007146,0.24952582944007146,3.0213631561824252,0.5730250000000001,20,fixed_budget
1.01,Hybrid,16,0.24998096625010172,0.24998096625010172,3.0133572533017112,0.5707362499999993,20,fixed_budget
1.01,LSTM,16,0.24987664487626818,0.24987664487626818,3.0151704001048256,0.5762012500000007,20,fixed_budget
1.01,IQ_CNN,15,0.24992189473576015,0.24992189473576015,3.0143773215157643,0.5723137499999991,20,fixed_budget
1.02,Hybrid,20,0.08961710866008486,0.08961710866008486,7.483022742801243,0.8713062500000005,20,fixed_budget
1.02,LSTM,20,0.0006050930473036946,0.0006050930473036946,29.623806574987988,0.9995699999999943,20,fixed_budget
1.02,IQ_CNN,20,0.022320363020140028,0.022320363020140028,13.517942685929556,0.9993449999999927,20,fixed_budget
1.03,Hybrid,19,0.0001133636297521344,0.0001133636297521344,36.468678005157955,1.0,20,fixed_budget
1.03,LSTM,19,0.0001335047450589223,0.0001335047450589223,35.912849002414276,0.9999924999999998,20,fixed_budget
1.03,IQ_CNN,20,0.0006106545620169195,0.0006106545620169195,29.360145720224534,0.999834999999998,20,fixed_budget
1.04,Hybrid,19,0.00015056573038381185,0.00015056573038381185,35.21428038581969,1.0,20,fixed_budget
1.04,LSTM,20,5.1134225248547626e-05,5.1134225248547626e-05,39.97537388877263,1.0,20,fixed_budget
1.04,IQ_CNN,12,0.00048728766463076073,0.00048728766463076073,30.211930956159318,0.9999762499999997,20,fixed_budget
1.05,Hybrid,15,0.0001428612276434987,0.0001428612276434987,35.44709420582605,1.0,20,fixed_budget
1.05,LSTM,20,8.494314568538574e-05,8.494314568538574e-05,37.744208623492526,1.0,20,fixed_budget
1.05,IQ_CNN,18,0.0001542400640328341,0.0001542400640328341,35.21033514113653,0.9999937499999999,20,fixed_budget
1.07,Hybrid,20,0.00011060745231271352,0.00011060745231271352,36.554540422227646,1.0,20,fixed_budget
1.07,LSTM,20,4.3552957481190944e-05,4.3552957481190944e-05,40.610169001988005,1.0,20,fixed_budget
1.07,IQ_CNN,20,0.0001395155134285608,0.0001395155134285608,35.585914490714906,1.0,20,fixed_budget
1.1,Hybrid,20,0.00012907574030881128,0.00012907574030881128,35.88370949881418,1.0,20,fixed_budget
1.1,LSTM,19,4.1279955656223355e-05,4.1279955656223355e-05,40.837761954655726,1.0,20,fixed_budget
1.1,IQ_CNN,15,8.528398826629633e-05,8.528398826629633e-05,37.77068116929796,1.0,20,fixed_budget
