model,pit_mse,wave_mse,sdr_db,soi_symbol_accuracy,int_symbol_accuracy,avg_symbol_accuracy
LSTM,0.45701778400689363,0.45701778307557106,0.4235761072486639,0.63078857421875,0.63078857421875,0.63078857421875
Hybrid,0.45481052435934544,0.45481051597744226,0.43965400382876396,0.6290576171874995,0.6290576171874995,0.6290576171874995
IQ_CNN,0.4544331291690469,0.45443313010036945,0.4439678508788347,0.625527343750001,0.625527343750001,0.625527343750001
Linear,0.459951545111835,0.4599515423178673,0.3930816166102886,0.6248999023437505,0.6248999023437505,0.6248999023437505
Tiny,0.45666942559182644,0.456669420003891,0.42783419974148273,0.622077636718751,0.622077636718751,0.622077636718751
FastICA,0.87625502794981,0.8762550242245197,-2.3222694247961044,0.6211474609375004,0.6211474609375004,0.6211474609375004
