snr_db,model,pit_mse,wave_mse,sdr_db,soi_symbol_accuracy,int_symbol_accuracy,avg_symbol_accuracy,soi_symbol_error_rate,int_symbol_error_rate
0.0,Tiny,0.5904768332839012,0.5904768370091915,-0.6710922792553902,1.0,1.0,1.0,0.0,0.0
-5.0,Tiny,1.2683075442910194,1.2683075442910194,-4.007045313715935,1.0,1.0,1.0,0.0,0.0
-10.0,Tiny,3.3904071301221848,3.3904071152210236,-8.298977315425873,1.0,1.0,1.0,0.0,0.0
-15.0,Tiny,10.221842110157013,10.221842050552368,-13.07166337966919,1.0,1.0,1.0,0.0,0.0
-20.0,Tiny,32.067951798439026,32.06795156002045,-18.049004077911377,1.0,1.0,1.0,0.0,0.0
-25.0,Tiny,102.1191987991333,102.11919975280762,-23.086482405662537,1.0,1.0,1.0,0.0,0.0
-30.0,Tiny,323.8002338409424,323.80024337768555,-28.078694224357605,1.0,1.0,1.0,0.0,0.0
30.0,Linear,0.25082746148109436,0.25082745496183634,3.0094095319509506,1.0,1.0,1.0,0.0,0.0
25.0,Linear,0.25145033560693264,0.2514503365382552,2.9925469756126404,1.0,1.0,1.0,0.0,0.0
20.0,Linear,0.2532698316499591,0.2532698353752494,2.9677232056856155,1.0,1.0,1.0,0.0,0.0
15.0,Linear,0.25862495601177216,0.2586249504238367,2.8857269436120987,1.0,1.0,1.0,0.0,0.0
10.0,Linear,0.27488018572330475,0.2748801950365305,2.628689482808113,1.0,1.0,1.0,0.0,0.0
5.0,Linear,0.3249490801244974,0.32494907826185226,1.8793062344193459,1.0,1.0,1.0,0.0,0.0
0.0,Linear,0.49007840640842915,0.49007841385900974,0.13266604021191597,1.0,1.0,1.0,0.0,0.0
-5.0,Linear,0.9960001818835735,0.9960001893341541,-2.964833155274391,1.0,1.0,1.0,0.0,0.0
-10.0,Linear,2.5989307910203934,2.598930776119232,-7.151372492313385,1.0,1.0,1.0,0.0,0.0
-15.0,Linear,7.6716563403606415,7.671656370162964,-11.831437826156616,1.0,1.0,1.0,0.0,0.0
-20.0,Linear,23.681615114212036,23.681614995002747,-16.738364577293396,1.0,1.0,1.0,0.0,0.0
-25.0,Linear,74.44793796539307,74.44793939590454,-21.71694552898407,1.0,1.0,1.0,0.0,0.0
-30.0,Linear,235.01562213897705,235.01562023162842,-26.690298438072205,1.0,1.0,1.0,0.0,0.0
30.0,Hybrid,0.0039840068347984925,0.003984006791142747,21.04456627368927,1.0,1.0,1.0,0.0,0.0
25.0,Hybrid,0.0042890872282441705,0.0042890872864518315,20.714050889015198,1.0,1.0,1.0,0.0,0.0
20.0,Hybrid,0.006787824589991942,0.006787824560888112,18.82958948612213,1.0,1.0,1.0,0.0,0.0
15.0,Hybrid,0.03230576205532998,0.032305761822499335,12.132424592971802,1.0,1.0,1.0,0.0,0.0
10.0,Hybrid,0.1442813854664564,0.14428138453513384,5.479405045509338,1.0,1.0,1.0,0.0,0.0
5.0,Hybrid,0.32889597676694393,0.32889597676694393,1.8383417874574661,1.0,1.0,1.0,0.0,0.0
0.0,Hybrid,0.4834909737110138,0.48349097184836864,0.19090550113469362,1.0,1.0,1.0,0.0,0.0
-5.0,Hybrid,0.7212292328476906,0.7212292328476906,-1.5691467598080635,1.0,1.0,1.0,0.0,0.0
-10.0,Hybrid,1.352451503276825,1.352451503276825,-4.322143644094467,1.0,1.0,1.0,0.0,0.0
