alpha,model,pit_mse,wave_mse,sdr_db,soi_symbol_accuracy,int_symbol_accuracy,avg_symbol_accuracy,soi_symbol_error_rate,int_symbol_error_rate
1.0,Linear,0.25893130898475647,0.258931303396821,2.875517353415489,1.0,1.0,1.0,0.0,0.0
1.5,Linear,0.28620816580951214,0.2862081676721573,2.4648895114660263,1.0,1.0,1.0,0.0,0.0
2.0,Linear,0.36380953155457973,0.36380953155457973,1.408086970448494,1.0,1.0,1.0,0.0,0.0
3.0,Linear,0.6807895079255104,0.6807895079255104,-1.313267633318901,1.0,1.0,1.0,0.0,0.0
4.0,Linear,1.1991943269968033,1.1991943269968033,-3.79550664126873,1.0,1.0,1.0,0.0,0.0
6.0,Linear,2.867225706577301,2.867225706577301,-7.574142217636108,1.0,1.0,1.0,0.0,0.0
8.0,Linear,5.426800638437271,5.426800608634949,-10.3296138048172,1.0,1.0,1.0,0.0,0.0
12.0,Linear,12.993381261825562,12.993381142616272,-14.108316779136658,1.0,1.0,1.0,0.0,0.0
16.0,Linear,23.99332058429718,23.99332046508789,-16.775253534317017,1.0,1.0,1.0,0.0,0.0
24.0,Linear,55.82052445411682,55.82052516937256,-20.445124864578247,1.0,1.0,1.0,0.0,0.0
32.0,Linear,101.10919570922852,101.10919427871704,-23.026626467704773,1.0,1.0,1.0,0.0,0.0
48.0,Linear,232.99971866607666,232.99971866607666,-26.643975496292114,1.0,1.0,1.0,0.0,0.0
64.0,Linear,420.75594902038574,420.7559471130371,-29.210513472557068,1.0,1.0,1.0,0.0,0.0
0.25,Hybrid,0.29169072955846786,0.29169072955846786,2.3629552870988846,1.0,1.0,1.0,0.0,0.0
0.5,Hybrid,0.1955311270430684,0.19553113169968128,4.118917003273964,1.0,1.0,1.0,0.0,0.0
0.75,Hybrid,0.06696696113795042,0.06696696160361171,8.905797719955444,1.0,1.0,1.0,0.0,0.0
1.0,Hybrid,0.031855057342909276,0.0318550574593246,12.19731217622757,1.0,1.0,1.0,0.0,0.0
1.5,Hybrid,0.11338148498907685,0.11338148405775428,6.622457444667816,1.0,1.0,1.0,0.0,0.0
2.0,Hybrid,0.24617158435285091,0.24617158249020576,3.1316791772842407,1.0,1.0,1.0,0.0,0.0
3.0,Hybrid,0.49624213576316833,0.4962421376258135,0.05379205074859783,1.0,1.0,1.0,0.0,0.0
4.0,Hybrid,0.767999891191721,0.7679998874664307,-1.870191976428032,1.0,1.0,1.0,0.0,0.0
6.0,Hybrid,1.6014370396733284,1.6014370545744896,-5.053147196769714,1.0,1.0,1.0,0.0,0.0
8.0,Hybrid,2.8580806851387024,2.858080640435219,-7.551509857177734,1.0,1.0,1.0,0.0,0.0
12.0,Hybrid,6.531863987445831,6.5318639278411865,-11.12489104270935,1.0,1.0,1.0,0.0,0.0
16.0,Hybrid,11.838171601295471,11.83817172050476,-13.710210382938385,1.0,1.0,1.0,0.0,0.0
24.0,Hybrid,27.116803884506226,27.116803526878357,-17.311000108718872,1.0,1.0,1.0,0.0,0.0
32.0,Hybrid,48.83428883552551,48.83428907394409,-19.866795301437378,1.0,1.0,1.0,0.0,0.0
48.0,Hybrid,112.01587533950806,112.01587581634521,-23.46401846408844,1.0,1.0,1.0,0.0,0.0
64.0,Hybrid,201.8436918258667,201.84369277954102,-26.02019953727722,1.0,1.0,1.0,0.0,0.0
0.25,LSTM,0.3206582050770521,0.3206582050770521,1.957420825958252,1.0,1.0,1.0,0.0,0.0
0.5,LSTM,0.23998425342142582,0.23998425528407097,3.2306535243988037,1.0,1.0,1.0,0.0,0.0
0.75,LSTM,0.04700599913485348,0.04700599960051477,10.525700390338898,1.0,1.0,1.0,0.0,0.0
1.0,LSTM,0.021004355512559414,0.02100435516331345,14.173459768295288,1.0,1.0,1.0,0.0,0.0
1.5,LSTM,0.12877723248675466,0.1287772310897708,6.11211884021759,1.0,1.0,1.0,0.0,0.0
2.0,LSTM,0.23062910791486502,0.23062910418957472,3.4116461127996445,1.0,1.0,1.0,0.0,0.0
