noise_variance,model,best_epoch,best_val_mse,final_val_mse,final_sdr_db,final_symbol_accuracy
0.8,Hybrid,8,0.29033170755092913,0.29033170755092913,2.3628853284395657,0.5715375
0.8,LSTM,8,0.28236031990784866,0.28236031990784866,2.4841657051673303,0.5891500000000001
0.8,IQ_CNN,8,0.28566110592622024,0.28566110592622024,2.433533008282001,0.5819343750000001
0.16,Hybrid,8,0.1704912632703781,0.1704912632703781,4.681630354661208,0.768403125
0.16,LSTM,8,0.16658624892051405,0.16658624892051405,4.782563392932598,0.7716000000000004
0.16,IQ_CNN,8,0.17486602067947388,0.17486602067947388,4.570582389831543,0.7702156250000003
