alpha,model,best_epoch,best_val_mse,final_val_mse,final_sdr_db,final_symbol_accuracy,stop_epoch,stop_reason
0.8,Hybrid,2,0.258046817779541,0.258046817779541,2.8753384590148925,0.6162500000000001,2,fixed_budget
0.8,LSTM,2,0.25530978441238406,0.25530978441238406,2.921579599380493,0.6039843749999999,2,fixed_budget
0.8,IQ_CNN,2,0.25522065758705137,0.25522065758705137,2.92314190864563,0.6321562500000002,2,fixed_budget
1.0,Hybrid,2,0.262917298078537,0.262917298078537,2.7939587593078614,0.5668281249999999,2,fixed_budget
1.0,LSTM,2,0.2551053762435913,0.2551053762435913,2.925341987609863,0.5675468749999999,2,fixed_budget
1.0,IQ_CNN,2,0.2540311276912689,0.2540311276912689,2.9436513900756838,0.569046875,2,fixed_budget
