separator,power_imbalance_mean,power_imbalance_std,amp_std_all_mean,amp_std_all_std,papr_mean_mean,papr_mean_std,cov_condition_mean,cov_condition_std,cov_spectral_entropy_mean,cov_spectral_entropy_std,cov_participation_ratio_mean,cov_participation_ratio_std,coherence_mean_mean,coherence_mean_std,offdiag_cov_abs_mean_mean,offdiag_cov_abs_mean_std,offdiag_cov_phase_std_mean,offdiag_cov_phase_std_std,phase_diff_std_mean_mean,phase_diff_std_mean_std,best_num_errors_mean,best_num_errors_std,success_mean,success_std
FastICA,1.1593238046875909,0.08895806716984925,0.6220802279114723,0.2611051373461615,4.81233989668926,1.448978545501681,11.751023446877797,8.207322199091482,0.847139496492623,0.06064009817178433,2.950524486054614,0.30364230654893115,0.2908433350125948,0.054298824403289765,0.6064959215720495,0.35863110169382634,1.4644311616894157,0.3773193338698225,1.5678582984592297,0.08927629082573768,0.752,1.8671243760456198,0.8133333333333334,0.3897736581127498
Learned: HTDemucs,1.0859361060974104,0.0428650436325092,0.3456422746181488,0.012473849804669925,2.8884763504540105,0.37673333581464874,29.43092613220215,10.097460685030862,0.7568833629959462,0.035624687475542566,2.5608427548435166,0.14352895090849913,0.35298972129821776,0.034975705713716505,0.3733361899852753,0.03792607550853453,1.5483773274314097,0.22328254406570813,1.4761309048763531,0.02886991871867664,7.0,3.0,0.0,0.0
Learned: Hybrid,1.1004033905380155,0.05015920857982277,0.3898981093168259,0.04003971232310921,3.39086980826732,0.5087600121463121,21.18293071937561,7.016766936838946,0.7825039911374735,0.03181969740540276,2.6558872103578013,0.14438835858587526,0.3429226260781288,0.031759915845231364,0.39438066476583483,0.034769620998919414,1.599362936815672,0.3683870643913539,1.5089205188860277,0.0715228392137458,8.778,2.050640449348693,0.0,0.0
Learned: IQ_CNN,1.0859361060974104,0.0428650436325092,0.3456422746181488,0.012473849804669925,2.8884763504540105,0.37673333581464874,29.43092613220215,10.097460685030862,0.7568833629959462,0.035624687475542566,2.5608427548435166,0.14352895090849913,0.35298972129821776,0.034975705713716505,0.3733361899852753,0.03792607550853453,1.5483773274314097,0.22328254406570813,1.4761309048763531,0.02886991871867664,9.8,1.6431676725154982,0.0,0.0
Learned: LSTM,1.0859361060974104,0.0428650436325092,0.3456422746181488,0.012473849804669925,2.8884763504540105,0.37673333581464874,29.43092613220215,10.097460685030862,0.7568833629959462,0.035624687475542566,2.5608427548435166,0.14352895090849913,0.35298972129821776,0.034975705713716505,0.3733361899852753,0.03792607550853453,1.5483773274314097,0.22328254406570813,1.4761309048763531,0.02886991871867664,10.0,2.0,0.0,0.0
